ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
K05391,"cyclic nucleotide gated channel, plant",31,0.676624352,1.903790824,0.000584685,0.004320965,0.003347491,5852,"tags=52%, list=17%, signal=43%",Nitab4.5_0000258g0120.1/Nitab4.5_0004506g0120.1/Nitab4.5_0012336g0020.1/Nitab4.5_0003066g0020.1/Nitab4.5_0005134g0020.1/Nitab4.5_0010529g0010.1/Nitab4.5_0000207g0310.1/Nitab4.5_0001180g0070.1/Nitab4.5_0000838g0140.1/Nitab4.5_0002568g0060.1/Nitab4.5_0001320g0080.1/Nitab4.5_0003066g0050.1/Nitab4.5_0001386g0020.1/Nitab4.5_0009672g0020.1/Nitab4.5_0004535g0010.1/Nitab4.5_0004545g0010.1
K15382,solute carrier family 50 (sugar transporter),30,-0.651711526,-1.819428569,0.000663256,0.004784918,0.00370692,3875,"tags=43%, list=11%, signal=39%",Nitab4.5_0000445g0160.1/Nitab4.5_0019996g0010.1/Nitab4.5_0004095g0080.1/Nitab4.5_0000445g0170.1/Nitab4.5_0002589g0090.1/Nitab4.5_0008460g0040.1/Nitab4.5_0001332g0140.1/Nitab4.5_0003113g0050.1/Nitab4.5_0012094g0010.1/Nitab4.5_0000445g0130.1/Nitab4.5_0003113g0100.1/Nitab4.5_0000849g0010.1/Nitab4.5_0004584g0010.1
K18195,rhamnogalacturonan endolyase [EC:4.2.2.23],10,-0.828065677,-1.784197105,0.000830558,0.005852539,0.004534015,4355,"tags=70%, list=12%, signal=61%",Nitab4.5_0003184g0030.1/Nitab4.5_0010157g0020.1/Nitab4.5_0014857g0010.1/Nitab4.5_0003184g0010.1/Nitab4.5_0000574g0050.1/Nitab4.5_0009158g0010.1/Nitab4.5_0000402g0260.1
K00430,peroxidase [EC:1.11.1.7],52,0.562406112,1.73314958,0.000850679,0.005858087,0.004538313,3413,"tags=40%, list=10%, signal=37%",Nitab4.5_0004989g0030.1/Nitab4.5_0003858g0010.1/Nitab4.5_0015635g0010.1/Nitab4.5_0001223g0020.1/Nitab4.5_0008610g0020.1/Nitab4.5_0002331g0010.1/Nitab4.5_0016891g0010.1/Nitab4.5_0004772g0020.1/Nitab4.5_0002731g0010.1/Nitab4.5_0012071g0010.1/Nitab4.5_0008304g0020.1/Nitab4.5_0003436g0020.1/Nitab4.5_0000099g0140.1/Nitab4.5_0001223g0010.1/Nitab4.5_0011461g0020.1/Nitab4.5_0008525g0020.1/Nitab4.5_0000099g0090.1/Nitab4.5_0000502g0090.1/Nitab4.5_0005691g0020.1/Nitab4.5_0008126g0020.1/Nitab4.5_0000651g0040.1
K01102,pyruvate dehydrogenase phosphatase [EC:3.1.3.43],39,0.613301229,1.781503094,0.001116033,0.007514621,0.005821645,5452,"tags=36%, list=16%, signal=30%",Nitab4.5_0012717g0010.1/Nitab4.5_0003878g0020.1/Nitab4.5_0000960g0080.1/Nitab4.5_0004396g0040.1/Nitab4.5_0001480g0020.1/Nitab4.5_0002017g0040.1/Nitab4.5_0006166g0030.1/Nitab4.5_0000570g0110.1/Nitab4.5_0004094g0030.1/Nitab4.5_0001190g0050.1/Nitab4.5_0004685g0030.1/Nitab4.5_0026451g0010.1/Nitab4.5_0005076g0010.1/Nitab4.5_0002018g0080.1
K10999,cellulose synthase A [EC:2.4.1.12],18,-0.711202903,-1.770761699,0.001670887,0.01100606,0.008526495,7489,"tags=56%, list=21%, signal=44%",Nitab4.5_0008778g0020.1/Nitab4.5_0004290g0030.1/Nitab4.5_0000469g0150.1/Nitab4.5_0003295g0200.1/Nitab4.5_0001344g0020.1/Nitab4.5_0001187g0030.1/Nitab4.5_0002611g0020.1/Nitab4.5_0007821g0010.1/Nitab4.5_0008526g0020.1/Nitab4.5_0000437g0170.1
K08235,xyloglucan:xyloglucosyl transferase [EC:2.4.1.207],38,0.590688864,1.703747583,0.00206213,0.013294155,0.010299103,2742,"tags=47%, list=8%, signal=44%",Nitab4.5_0000762g0010.1/Nitab4.5_0000404g0110.1/Nitab4.5_0002630g0010.1/Nitab4.5_0001675g0070.1/Nitab4.5_0009499g0020.1/Nitab4.5_0000592g0220.1/Nitab4.5_0003594g0010.1/Nitab4.5_0002579g0060.1/Nitab4.5_0001675g0050.1/Nitab4.5_0013465g0010.1/Nitab4.5_0000957g0170.1/Nitab4.5_0000244g0350.1/Nitab4.5_0000926g0150.1/Nitab4.5_0007650g0040.1/Nitab4.5_0001819g0100.1/Nitab4.5_0009123g0010.1/Nitab4.5_0000521g0100.1/Nitab4.5_0000037g0180.1
K14505,"cyclin D3, plant",10,-0.797886886,-1.719172176,0.002432033,0.015352207,0.011893494,5803,"tags=100%, list=17%, signal=84%",Nitab4.5_0001373g0060.1/Nitab4.5_0001039g0060.1/Nitab4.5_0009759g0010.1/Nitab4.5_0006486g0030.1/Nitab4.5_0003771g0030.1/Nitab4.5_0004339g0110.1/Nitab4.5_0002815g0160.1/Nitab4.5_0009329g0040.1/Nitab4.5_0006058g0010.1
K19355,"mannan endo-1,4-beta-mannosidase [EC:3.2.1.78]",12,-0.758952462,-1.685443991,0.003430286,0.021211769,0.016432949,8481,"tags=100%, list=24%, signal=76%",Nitab4.5_0003265g0070.1/Nitab4.5_0000143g0220.1/Nitab4.5_0006305g0030.1/Nitab4.5_0001198g0050.1/Nitab4.5_0011031g0010.1/Nitab4.5_0009228g0030.1/Nitab4.5_0000638g0200.1/Nitab4.5_0001215g0140.1/Nitab4.5_0010739g0010.1/Nitab4.5_0001617g0070.1/Nitab4.5_0000178g0330.1
K07195,exocyst complex component 7,26,0.657070998,1.783910879,0.003649802,0.022117801,0.01713486,10159,"tags=73%, list=29%, signal=52%",Nitab4.5_0005858g0010.1/Nitab4.5_0002960g0030.1/Nitab4.5_0001068g0090.1/Nitab4.5_0001485g0080.1/Nitab4.5_0000766g0010.1/Nitab4.5_0009401g0010.1/Nitab4.5_0003841g0070.1/Nitab4.5_0002716g0040.1/Nitab4.5_0001637g0050.1/Nitab4.5_0005560g0010.1/Nitab4.5_0002795g0010.1/Nitab4.5_0001047g0030.1/Nitab4.5_0006731g0020.1/Nitab4.5_0004750g0070.1/Nitab4.5_0000719g0010.1/Nitab4.5_0005153g0060.1/Nitab4.5_0006232g0060.1/Nitab4.5_0007799g0070.1/Nitab4.5_0005130g0020.1
K01537,P-type Ca2+ transporter type 2C [EC:7.2.2.10],14,0.742277834,1.74943722,0.003824734,0.022723422,0.017604041,5054,"tags=71%, list=14%, signal=61%",Nitab4.5_0027350g0010.1/Nitab4.5_0001592g0140.1/Nitab4.5_0004469g0030.1/Nitab4.5_0003745g0060.1/Nitab4.5_0001618g0300.1/Nitab4.5_0000028g0420.1/Nitab4.5_0000826g0220.1/Nitab4.5_0004916g0030.1/Nitab4.5_0001691g0150.1/Nitab4.5_0002527g0060.1
K10949,ER lumen protein retaining receptor,14,0.738358119,1.74019904,0.004885026,0.028464671,0.022051838,2782,"tags=43%, list=8%, signal=39%",Nitab4.5_0002641g0120.1/Nitab4.5_0007229g0020.1/Nitab4.5_0003020g0190.1/Nitab4.5_0002985g0030.1/Nitab4.5_0000403g0010.1/Nitab4.5_0001161g0010.1
K00472,prolyl 4-hydroxylase [EC:1.14.11.2],17,0.705251535,1.717791981,0.005598351,0.032005666,0.024795079,7548,"tags=76%, list=21%, signal=60%",Nitab4.5_0003431g0060.1/Nitab4.5_0001727g0170.1/Nitab4.5_0009936g0050.1/Nitab4.5_0001561g0090.1/Nitab4.5_0002105g0070.1/Nitab4.5_0012519g0010.1/Nitab4.5_0006892g0020.1/Nitab4.5_0001772g0060.1/Nitab4.5_0001685g0040.1/Nitab4.5_0000059g0270.1/Nitab4.5_0003878g0090.1/Nitab4.5_0006860g0030.1/Nitab4.5_0008084g0010.1
K08286,protein-serine/threonine kinase [EC:2.7.11.-],16,-0.675549019,-1.631321126,0.008075668,0.04531347,0.035104755,5326,"tags=56%, list=15%, signal=48%",Nitab4.5_0010411g0010.1/Nitab4.5_0006735g0010.1/Nitab4.5_0003328g0100.1/Nitab4.5_0007027g0010.1/Nitab4.5_0002529g0010.1/Nitab4.5_0003318g0040.1/Nitab4.5_0001860g0080.1/Nitab4.5_0000851g0050.1/Nitab4.5_0012657g0030.1
K02183,calmodulin,14,0.717328677,1.690635809,0.008752769,0.048219799,0.037356315,6168,"tags=57%, list=18%, signal=47%",Nitab4.5_0000321g0270.1/Nitab4.5_0012644g0010.1/Nitab4.5_0018685g0010.1/Nitab4.5_0000430g0020.1/Nitab4.5_0001925g0180.1/Nitab4.5_0000062g0390.1/Nitab4.5_0005702g0030.1/Nitab4.5_0002757g0010.1
K13448,calcium-binding protein CML,48,0.517029064,1.559792349,0.009038721,0.048905939,0.037887873,6168,"tags=44%, list=18%, signal=36%",Nitab4.5_0000321g0270.1/Nitab4.5_0002993g0050.1/Nitab4.5_0012187g0010.1/Nitab4.5_0000082g0370.1/Nitab4.5_0000382g0130.1/Nitab4.5_0004052g0010.1/Nitab4.5_0001965g0080.1/Nitab4.5_0000457g0360.1/Nitab4.5_0003037g0110.1/Nitab4.5_0012644g0010.1/Nitab4.5_0005031g0050.1/Nitab4.5_0003368g0020.1/Nitab4.5_0018685g0010.1/Nitab4.5_0000430g0020.1/Nitab4.5_0001925g0180.1/Nitab4.5_0004878g0060.1/Nitab4.5_0000062g0390.1/Nitab4.5_0005702g0030.1/Nitab4.5_0000529g0080.1/Nitab4.5_0000677g0010.1/Nitab4.5_0002757g0010.1
